"Gambar Produk","Link Produk","Nama Produk","Nama Toko","Harga","Omset Total","Penjualan Total","Omset 30 Hari","Penjualan 30 Hari","Rating"
"https://down-id.img.susercontent.com/file/https://cf.shopee.co.id/file/id-11134207-7r98r-lx276kz3nsrfc4_tn.webp","https://shopee.co.id/maximo-piegare-20-7-speed-folding-bike-aluminium-i.1290304675.25632791762","Maximo Piegare 20"" 7 Speed Folding Bike Aluminium","Madam Bike","Rp 1.416.000","Rp 1.416.000.000","1.000","Rp 73.632.000","52","4.90"
"https://down-id.img.susercontent.com/file/https://cf.shopee.co.id/file/id-11134207-8224z-mi4p9uuc4etg32_tn.webp","https://shopee.co.id/odessy-ritz-sepeda-lipat-1620-inch-rem-disc-i.105979235.28363499582","Odessy Ritz Sepeda Lipat 16/20 Inch Rem Disc","Lautan Jaya Bike","Rp 1.084.999","Rp 3.254.997.000","3.000","Rp 276.674.745","255","4.69"
"https://down-id.img.susercontent.com/file/https://cf.shopee.co.id/file/id-11134207-7r98o-lkumu0qjfbib19_tn.webp","https://shopee.co.id/odessy-ritz-folding-bike-20-inch-disc-brake-i.51418619.22052518484","Odessy Ritz Folding Bike 20 Inch Disc Brake","JAYA ABADI BIKE","Rp 1.199.000","Rp 4.796.000.000","4.000","Rp 190.641.000","159","4.75"
"https://down-id.img.susercontent.com/file/https://cf.shopee.co.id/file/id-11134207-81ztq-me6x6lpjft38ab_tn.webp","https://shopee.co.id/pacific-sepeda-lipat-remaja-dan-dewasa-vito-xr-ukuran-ban-16-i.349407809.18397431718","Pacific Sepeda Lipat Remaja dan Dewasa Vito XR Ukuran Ban 16","PacificBike Official Shop","Rp 2.100.000","Rp 1.306.200.000","622","Rp 54.600.000","26","4.85"
"https://down-id.img.susercontent.com/file/https://cf.shopee.co.id/file/id-11134207-7r98v-lwpecm587lbgb7_tn.webp","https://shopee.co.id/sepeda-lipat-maximo-piegare-16-inch-9-speed-i.955646558.24702839907","Sepeda Lipat Maximo Piegare 16 Inch 9 Speed","GS SEPEDA","Rp 1.000.000","Rp 1.000.000.000","1.000","Rp 76.000.000","76","4.85"
"https://down-id.img.susercontent.com/file/https://cf.shopee.co.id/file/id-11134207-7r992-ln0ywkft2ovq7f_tn.webp","https://shopee.co.id/sepeda-lipat-16-20-odessy-ritz-bagasi-belakang-new-model-i.47761539.20751009033","Sepeda Lipat 16 20 ODESSY RITZ + Bagasi Belakang New Model","Wisata Bike Karawang","Rp 1.200.000","Rp 289.200.000","241","Rp 30.000.000","25","4.78"
"https://down-id.img.susercontent.com/file/https://cf.shopee.co.id/file/id-11134207-7qul7-lhtx481vsmay16_tn.webp","https://shopee.co.id/baru-sepeda-lipat-182022-inci-sepeda-gunung-anak-sepeda-rem-cakram-ganda-off-road-6-kecepatan-ebuy-i.839238869.20389633919","Baru sepeda lipat 18/20/22 inci Sepeda gunung anak / Sepeda rem cakram ganda off-road 6 kecepatan - EBUY","EBUY Official Store","Rp 1.138.500","Rp 557.865.000","490","Rp 6.831.000","6","4.79"
"https://down-id.img.susercontent.com/file/https://cf.shopee.co.id/file/id-11134207-81zti-mes13l1fupky49_tn.webp","https://shopee.co.id/sepeda-lipat-morison-8118-steel-single-speed-praktis-i.140996876.7416778653","Sepeda Lipat Morison 8118 Steel Single Speed Praktis","HokieJayaSepeda","Rp 682.410","Rp 2.047.230.000","3.000","Rp 52.545.570","77","4.57"
"https://down-id.img.susercontent.com/file/https://cf.shopee.co.id/file/id-11134207-7rask-m4bjlg2eynifd9_tn.webp","https://shopee.co.id/sepeda-lipat-odessy-rodeo-20-ukuran-16-dan-20-1-speed-garansi-original-i.34416008.29822010827","Sepeda Lipat  Odessy Rodeo 2.0 Ukuran 16"" dan 20"" - 1 Speed Garansi Original","Odessy Official Shop","Rp 1.000.000","Rp 95.000.000","95","Rp 7.000.000","7","4.86"
"https://down-id.img.susercontent.com/file/https://cf.shopee.co.id/file/sg-11134201-22090-k9lgeepoz2hv84_tn.webp","https://shopee.co.id/sepeda-lipat-odessy-ritz-phyton-7speed-cakram-i.58262906.5496443250","Sepeda Lipat Odessy Ritz Phyton 7Speed Cakram","CibinongSparts","Rp 1.220.000","Rp 1.220.000.000","1.000","Rp 2.440.000","2","4.68"
